11,.7727273,0,.9545454,.0909091,.1363636
13,.8636364,.6363636,.5454546,.0454545,.0454545
15,.2727273,.9545454,.3181818,.5909091,.0909091
17,.1363636,.9090909,.5909091,.3181818,.1818182
19,.4090909,.8636364,.2272727,.2272727,.3636364
21,.9090909,.0454545,.1818182,.1818182,.2727273
23,.9545454,.7272727,.0454545,0,.4090909
25,.8181818,.3181818,0,.8636364,.5
27,.6363636,.2272727,.5,.3636364,.5454546
29,.5,.6818182,.1363636,.4090909,.6818182
31,.4545455,.4090909,.0909091,.9545454,.6363636
33,.6818182,.3636364,.2727273,.1363636,.5909091
35,.3636364,.1818182,.7727273,.9090909,.3181818
37,.3181818,.1363636,.9090909,.7727273,.7272727
39,.5909091,.0909091,.4545455,.8181818,.4545455
41,.7272727,.4545455,.4090909,.7272727,0
43,.5454546,.5454546,.3636364,.5454546,.2272727
45,.2272727,.2727273,.8181818,.5,.8181818
47,.0909091,.5909091,.8636364,.6363636,.8636364
49,0,.8181818,.6818182,.4545455,.9090909
51,.0454545,.7727273,.6363636,.6818182,.7727273
53,.1818182,.5,.7272727,.2727273,.9545454
